               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.015695,           0.0061858,                   0,             0.94633,              0.9375,             0.95695,             0.77213,           0.0045903,           0.0036281,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.016229,           0.0062736,                   0,             0.94791,              0.9375,             0.94979,             0.76773,           0.0043701,           0.0036417,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.016312,           0.0063697,                   0,             0.95775,             0.94462,               0.951,             0.76552,            0.004261,           0.0033975,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,             0.01741,           0.0067526,                   0,              0.9474,             0.96875,              0.9645,             0.76756,           0.0046612,           0.0036893,                   0,            0.003763,            0.003763,            0.003763
                 128,             0.01683,           0.0065183,                   0,             0.93993,             0.97791,             0.96696,             0.80299,           0.0045801,           0.0032763,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.017654,            0.006781,                   0,             0.93343,             0.94792,             0.93936,              0.7639,            0.004585,           0.0034024,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.017112,           0.0063111,                   0,             0.96905,             0.97849,             0.96959,             0.81184,           0.0039737,           0.0030667,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.016442,           0.0063955,                   0,             0.94486,             0.94792,             0.95284,             0.76359,            0.004772,           0.0032707,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.017061,           0.0066882,                   0,             0.94552,             0.94792,             0.94695,             0.76962,           0.0043283,            0.003389,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.015785,           0.0061495,                   0,             0.94645,             0.95833,             0.95729,             0.78468,           0.0040638,           0.0031906,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.016307,           0.0060298,                   0,             0.96699,             0.96875,             0.95902,             0.77234,           0.0043729,           0.0033489,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.015578,            0.006248,                   0,             0.94937,             0.97658,             0.96321,             0.80478,           0.0043032,           0.0033202,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.016205,           0.0061803,                   0,             0.96036,             0.96875,             0.96971,             0.81327,           0.0042363,           0.0031877,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,            0.015031,           0.0062164,                   0,             0.95718,             0.97917,             0.96388,             0.78446,           0.0040487,           0.0032441,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.015706,           0.0062794,                   0,             0.94836,             0.97917,             0.96746,              0.8011,            0.003916,           0.0031702,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.016495,           0.0064118,                   0,             0.94716,             0.95833,             0.96139,             0.78335,           0.0042276,           0.0033237,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.015823,           0.0060511,                   0,             0.96905,             0.97838,             0.97523,             0.80658,           0.0043903,            0.003207,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.015381,           0.0062721,                   0,             0.94837,             0.95668,             0.96868,             0.78231,            0.004523,           0.0035892,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.015561,           0.0062117,                   0,             0.95821,             0.96875,              0.9636,              0.7869,           0.0041821,           0.0031999,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,             0.01617,           0.0061872,                   0,             0.96873,             0.96824,             0.96915,             0.78761,           0.0044082,            0.003207,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.016015,           0.0061495,                   0,             0.93874,             0.95833,             0.96623,             0.80025,           0.0041449,           0.0031754,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.016644,           0.0059543,                   0,             0.92996,             0.96813,             0.94847,             0.77258,           0.0043498,           0.0033462,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.016867,           0.0062553,                   0,             0.92911,              0.9557,             0.95862,             0.78197,           0.0042306,           0.0034718,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.016244,           0.0060219,                   0,             0.93946,             0.96983,             0.97119,             0.79432,           0.0045301,           0.0032891,                   0,            0.002773,            0.002773,            0.002773
                 148,             0.01519,           0.0059223,                   0,             0.93929,             0.96701,             0.97349,              0.8057,           0.0043643,           0.0033332,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.015375,           0.0061282,                   0,             0.94034,             0.98509,             0.97451,              0.7909,            0.004381,           0.0031597,                   0,            0.002674,            0.002674,            0.002674
                 150,             0.01524,           0.0058691,                   0,             0.94604,             0.98958,             0.97858,             0.78214,           0.0043709,           0.0033344,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.015007,           0.0058872,                   0,             0.94038,             0.98586,              0.9754,             0.76693,           0.0044301,           0.0034731,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.014991,           0.0056601,                   0,             0.96731,             0.95833,             0.97464,             0.78152,           0.0044785,           0.0035614,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,             0.01483,           0.0062642,                   0,             0.94177,             0.96875,             0.97479,             0.78035,           0.0048971,           0.0038664,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.014907,           0.0059512,                   0,             0.95673,             0.95833,             0.97577,             0.78434,           0.0045476,           0.0034236,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.014554,           0.0055842,                   0,             0.93817,             0.97917,             0.98535,             0.82436,           0.0043932,           0.0035695,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.015956,           0.0060607,                   0,             0.94944,             0.97798,             0.97576,             0.80055,           0.0042541,           0.0035738,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.015569,           0.0057819,                   0,             0.93076,             0.98022,              0.9773,             0.77459,           0.0044504,           0.0036113,                   0,            0.002278,            0.002278,            0.002278
                 158,            0.014916,           0.0060846,                   0,             0.94054,             0.98862,             0.97827,             0.80411,            0.004108,           0.0032185,                   0,           0.0022285,           0.0022285,           0.0022285
                 159,            0.014187,           0.0058303,                   0,             0.94705,             0.97917,              0.9784,              0.8082,           0.0044569,           0.0032705,                   0,            0.002179,            0.002179,            0.002179
                 160,            0.013824,           0.0058711,                   0,             0.93765,             0.98958,             0.97075,             0.77386,           0.0045844,           0.0034319,                   0,           0.0021295,           0.0021295,           0.0021295
                 161,              0.0148,           0.0059593,                   0,             0.92584,             0.97917,             0.96476,             0.78669,            0.004398,           0.0033922,                   0,             0.00208,             0.00208,             0.00208
                 162,            0.015195,           0.0059465,                   0,             0.95858,             0.96441,             0.97081,             0.79338,           0.0043785,           0.0034758,                   0,           0.0020305,           0.0020305,           0.0020305
